Date,Price,Open,High,Low,Vol.,Change %
25-Mar-22,44331,44013,45112,43622,494.09M,0.72%
24-Mar-22,44013,42911,44251,42658,491.66M,2.57%
23-Mar-22,42912,42373,43027,41795,433.96M,1.27%
22-Mar-22,42373,41022,43327.9,40893,537.06M,3.29%
21-Mar-22,41022,41282,41532,40530,406.62M,-0.62%
20-Mar-22,41276,42241,42301,40922,308.45M,-2.27%
19-Mar-22,42233,41768,42386,41529.6,224.59M,1.11%
18-Mar-22,41767.8,40914.6,42308.4,40234.8,2.31B,2.08%
17-Mar-22,40914.8,41118.7,41406,40557.8,1.90B,-0.50%
16-Mar-22,41118.7,39282.5,41701.6,38953.2,4.47B,4.67%
15-Mar-22,39285.7,39673,39854.7,38220.9,2.25B,-0.97%
14-Mar-22,39671.1,37789.5,39914.3,37613.6,2.33B,4.97%
13-Mar-22,37792.4,38813.2,39272.3,37603.4,1.55B,-2.63%
12-Mar-22,38814.3,38730.2,39355.3,38666.5,1.11B,0.22%
11-Mar-22,38730.2,39422.5,40177,38236.4,2.79B,-1.74%
10-Mar-22,39416.3,41933.9,42029.1,38603.5,3.62B,-5.99%
9-Mar-22,41929,38731.5,42538.5,38663.3,3.60B,8.22%
8-Mar-22,38744.8,38020.6,39351.5,37886.6,2.67B,1.89%
7-Mar-22,38024.8,38420.6,39532,37182.1,3.02B,-0.99%
6-Mar-22,38403.1,39396.3,39668.1,38115,1.93B,-2.52%
5-Mar-22,39395.8,39142.8,39600.2,38626.1,1.50B,0.65%
4-Mar-22,39142.7,42463,42848.7,38594.9,3.21B,-7.82%
3-Mar-22,42463,43912.8,44077.2,41840.8,74.11K,-3.30%
2-Mar-22,43912.8,44420.3,45294.2,43361.3,80.82K,-1.14%
1-Mar-22,44420.3,43187.2,44900.5,42876.6,90.67K,2.85%
28-Feb-22,43188.2,37707.2,43977.8,37458.9,108.07K,14.59%
27-Feb-22,37689.1,39116.6,39838.5,37062.3,66.14K,-3.65%
26-Feb-22,39115.5,39221.6,40094.5,38639.1,41.55K,-0.24%
25-Feb-22,39209.6,38339.2,39683.7,38042.6,83.78K,2.27%
24-Feb-22,38339.2,37250.2,39351.6,34357.4,180.47K,2.99%
23-Feb-22,37224.6,38248.2,39194.5,37099.5,64.84K,-2.68%
22-Feb-22,38248.2,37018.3,38414.9,36399.6,82.75K,3.32%
21-Feb-22,37017.7,38355,39444.1,36868.9,91.82K,-3.49%
20-Feb-22,38355,40089.6,40120.3,38042.2,47.92K,-4.33%
19-Feb-22,40090.3,40000.1,40434.3,39666.6,25.78K,0.23%
18-Feb-22,40000.1,40532.5,40935.5,39505,64.96K,-1.36%
17-Feb-22,40552.8,43885.5,44167.1,40103.8,72.63K,-7.59%
